case_id,species,age_years,breed,is_neutered,weight_kg,is_vaccinated,lethargy_level,appetite_status,drinking_status,is_vomiting,is_diarrhea,has_blood_in_stool,is_straining_to_urinate,urinating_more_frequently,has_blood_in_urine,is_coughing,is_sneezing,has_nasal_discharge,is_itching_scratching,has_hair_loss,is_lame_limping,diagnosis
1001,Cat,6,Maine Coon,Yes,6,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,FLUTD
1002,Dog,7,Golden Retriever,No,28,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1003,Cat,2,Bengal,No,5,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,FLUTD
1004,Dog,7,Boxer,Yes,38,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1005,Cat,16,Maine Coon,Yes,7,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1006,Cat,15,Persian,No,7,Yes,Normal,Decreased,Increased,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1007,Cat,11,Maine Coon,Yes,4,Yes,Mild,Decreased,Increased,No,No,No,Yes,Yes,No,No,No,No,No,No,No,CKD
1008,Cat,2,Ragdoll,Yes,5,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,FLUTD
1009,Cat,13,British Shorthair,No,6,Yes,Mild,Normal,Increased,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1010,Dog,9,Mixed Breed,No,13,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1011,Cat,3,Bengal,No,4,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,FLUTD
1012,Cat,1,Siamese,Yes,5,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1013,Dog,14,German Shepherd,No,36,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1014,Dog,1,Shih Tzu,Yes,26,No,Normal,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1015,Cat,13,Maine Coon,Yes,4,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1016,Dog,1,Poodle,Yes,14,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1017,Cat,14,Domestic Longhair,No,7,No,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1018,Dog,14,Boxer,Yes,15,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1019,Dog,9,Golden Retriever,Yes,14,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1020,Dog,14,Rottweiler,Yes,38,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1021,Dog,3,German Shepherd,No,7,Yes,Normal,Normal,Normal,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Kennel Cough
1022,Dog,11,Golden Retriever,Yes,32,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Kennel Cough
1023,Cat,16,Domestic Longhair,Yes,4,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1024,Dog,2,Shih Tzu,Yes,34,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1025,Dog,11,Mixed Breed,No,15,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1026,Cat,12,Domestic Longhair,Yes,3,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1027,Cat,9,Bengal,Yes,3,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,No,No,No,No,Upper Respiratory Infection
1028,Dog,12,Beagle,No,17,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1029,Dog,1,Beagle,No,11,No,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1030,Dog,2,Shih Tzu,Yes,32,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Parvovirus
1031,Dog,7,Golden Retriever,Yes,8,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1032,Dog,8,Rottweiler,No,30,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1033,Dog,1,Shih Tzu,Yes,15,No,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1034,Dog,7,Boxer,Yes,28,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1035,Cat,11,Sphynx,No,4,No,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Upper Respiratory Infection
